Dimension,Algorithm,MeanRank,RankSD,BestCount,WorstCount
10,DE,1.103448275862069,0.4092525928189875,27,1
10,CREO-DE-NoRG,2.3793103448275863,0.5614899250748773,1,12
10,CREO-DE,2.5172413793103448,0.5744991393237625,1,16
30,DE,1.0344827586206897,0.1856953381770519,28,0
30,CREO-DE-NoRG,2.0,0.2672612419124244,1,1
30,CREO-DE,2.9655172413793105,0.1856953381770519,0,28
