Algorithm,Mean Rank
DE,1.5551724137931036
PSO,2.164367816091954
CREO-Repair,4.257471264367816
CREO-RG,4.4528735632183905
CREO-DE,4.757471264367816
GA,4.787356321839081
GWO,6.025287356321838
