Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
DE,3085.9088959103133,799.6977919333152,2145.529009075679,5469.181823342175,100.0,0.0
PSO,5874.8749559589405,2957.1110917264587,2328.737643427553,13260.60460374525,100.0,0.0
CREO-Repair,44678.38874219951,19266.813519470998,16786.293707840887,93952.47113811054,100.0,0.0
CREO-RG,119608.85787538704,129629.69008047548,20336.25186436405,539174.3544695026,100.0,0.0
CREO-DE,70536441.97146723,24359949.603926364,28635890.5335712,131948784.27633569,100.0,0.0
GA,113861787.7036601,21813420.90596706,79851862.03181535,183340633.82781145,100.0,0.0
GWO,533224395.0768071,100788676.28509174,371593186.1329003,724907174.6543117,100.0,0.0
