Dimension,Algorithm,MeanRank,StdRank,BestCount,WorstCount
10,DE,1.103448275862069,0.4092525928189875,27,1
10,CREO-DE-NoRG,2.3793103448275863,0.5614899250748773,1,12
10,CREO-DE,2.5172413793103448,0.5744991393237625,1,16
