Function,Dimension,Algorithm,Mean,Std,Best,Worst
F19,10,DE,1900.1649844578692,0.3604228265835979,1900.0006185479876,1901.1459114179308
F19,10,CREO-DE,2087.1765645084547,176.94352182844668,1922.304001354582,2582.2236104976264
F19,10,CREO-DE-NoRG,2128.1485519984517,713.2435544764622,1916.1154024076634,5667.0836354450175
