Function,Dimension,Algorithm,Mean,Std,Best,Worst
F1,30,DE,100.00000057788193,7.705810812578456e-07,100.00000003133226,100.00000403316034
F1,30,CREO-DE-NoRG,333834147.7682664,70813549.9247364,198655932.09327862,487485701.3022211
F1,30,CREO-DE,1082243913.5327885,251745303.93106383,577591172.6690717,1519094757.8641424
F3,30,DE,1003.6767000088016,494.77593951139926,383.9930190939322,2396.722043331206
F3,30,CREO-DE-NoRG,9519.642954654475,3150.523453563927,4293.946442696966,17164.86506197912
F3,30,CREO-DE,51244.40358304933,8239.471026395353,32747.00947969189,70516.57999885034
F4,30,DE,429.3652182271496,33.03886492321374,400.00000873815713,472.0059368791128
F4,30,CREO-DE-NoRG,546.3066526268918,22.233529051897467,516.4329574865885,612.2013565057632
F4,30,CREO-DE,1109.0278751057947,175.26918377195742,858.2163973064883,1595.4896287610172
F5,30,DE,654.1489995470389,59.21468953382316,539.5124012214227,722.67861834382
F5,30,CREO-DE-NoRG,700.3528478344253,13.055276671019163,667.1015357969947,722.7560618158595
F5,30,CREO-DE,751.2625726931842,12.224864430620531,731.2599189449702,777.9207538047881
F6,30,DE,600.0002288469988,0.00014536847364137945,600.0000315534917,600.000663570234
F6,30,CREO-DE-NoRG,607.1092311569042,0.8146940660962546,604.9594873944613,608.7874252970157
F6,30,CREO-DE,632.3102178259086,4.311233226981305,621.9258748536577,642.388348307647
F7,30,DE,911.0595971912796,34.68842553508205,805.1893839405535,945.8774975517997
F7,30,CREO-DE-NoRG,958.7494511310057,14.581696739425201,922.8671120805875,989.5124683245047
F7,30,CREO-DE,1001.4028295699799,18.0840848583505,951.5923929212416,1045.7035981090849
F8,30,DE,963.8013641616777,57.122623584372256,818.3429527861521,1017.2262406652609
F8,30,CREO-DE-NoRG,1006.1648564032309,8.164942261414064,978.5264631076994,1015.8292666954051
F8,30,CREO-DE,1043.1365726572192,11.347432344085274,1019.1720263502098,1070.5164778357819
F9,30,DE,900.0,1.3517709711092836e-13,900.0,900.0000000000003
F9,30,CREO-DE-NoRG,995.5386811229025,24.87945600336343,947.6802943985668,1037.438228225877
F9,30,CREO-DE,2058.562403570403,526.10074378017,1308.9368928780298,3983.503273077172
F10,30,DE,7741.152696616044,1378.608705055199,3903.41510408698,8888.046428646569
F10,30,CREO-DE-NoRG,7693.8616654215675,288.47129524516606,7126.4370941137795,8138.068961699534
F10,30,CREO-DE,7879.013629096979,286.89036037827594,7083.921101365926,8387.952681832892
F11,30,DE,1133.3345899801996,39.26868024142591,1104.0500999807568,1234.273158707832
F11,30,CREO-DE-NoRG,1305.0194797893685,24.84633788021332,1257.8542417410179,1354.8904822270615
F11,30,CREO-DE,1995.185664297961,129.16536418024037,1785.8591102271212,2321.5036644447473
F12,30,DE,20653.943831403547,18281.637836279417,5573.028892075017,98388.55788069211
F12,30,CREO-DE-NoRG,36370411.75542583,8519298.463491559,15493092.682821214,60657529.33107141
F12,30,CREO-DE,563961474.2568983,221891781.58919933,228229776.86525983,1034386299.5073326
F13,30,DE,1410.3001166032889,24.531715172600578,1377.3808238791107,1496.7235120812873
F13,30,CREO-DE-NoRG,10625899.96184261,3480732.6114894776,5161668.805832958,21583994.098370507
F13,30,CREO-DE,181075144.13394746,86253796.26823583,51281084.64645726,458132117.20823044
F14,30,DE,1457.8413610516695,26.964295662742593,1410.5913360255652,1500.6590172551946
F14,30,CREO-DE-NoRG,15504.576515404879,6514.639828096833,6588.512653815384,31695.509741069938
F14,30,CREO-DE,57630.88122269321,48652.325304629114,6535.161935441285,253763.04029719552
F15,30,DE,1534.8864939182727,19.297128148673064,1504.064940388898,1562.8671398945419
F15,30,CREO-DE-NoRG,281455.14762554277,98521.16697203855,123254.06819340275,493091.4894448513
F15,30,CREO-DE,2965341.482639728,1682712.3346725588,393224.01926663786,8074719.420550416
F16,30,DE,2567.723657815288,458.0490036702367,1832.262050937576,3643.31443194612
F16,30,CREO-DE-NoRG,2878.8209895574955,243.84397763391496,2240.7330518955914,3331.7164539981636
F16,30,CREO-DE,3547.9763767576214,149.16906395692376,3204.807500370212,3821.973950362518
F17,30,DE,1830.066342403072,117.91092207117471,1733.529783169904,2170.416393773619
F17,30,CREO-DE-NoRG,2093.5917170381304,92.18428887026093,1948.1561188089215,2311.177652526793
F17,30,CREO-DE,2405.0718260975295,105.60186197012358,2171.40497385314,2603.44856531512
F18,30,DE,10127.676656356356,9223.308383449794,1858.3078881269505,42549.63641338535
F18,30,CREO-DE-NoRG,121949.67806152596,36245.48896765037,67378.8189327379,203432.01731564483
F18,30,CREO-DE,680444.9926906711,297492.7798510136,277701.19311054377,1734733.9603663692
F19,30,DE,1917.338368368833,5.708337223738031,1910.2102170388248,1937.7884691068907
F19,30,CREO-DE-NoRG,911365.4988853199,397944.16226383054,241445.81048775272,1904160.764417585
F19,30,CREO-DE,6662716.715164438,3218384.2251823335,1317064.6321698,14497580.053127412
F20,30,DE,2214.280924232496,132.93367849811605,2121.83275192923,2747.755636993307
F20,30,CREO-DE-NoRG,2315.4181264420267,130.09997567412648,2149.030451033907,2594.85848410343
F20,30,CREO-DE,2636.239035276881,101.50476004847836,2404.5841036626384,2792.750861427859
F21,30,DE,2442.7269969976137,57.11257503257919,2330.3531811901944,2500.690564512095
F21,30,CREO-DE-NoRG,2498.0915975770267,10.488267422525716,2473.84015750767,2513.503604243645
F21,30,CREO-DE,2549.492180254754,16.410367492643623,2512.2009802705074,2586.7928682378874
F22,30,DE,2300.0000000069467,5.682825654670812e-09,2300.0000000006885,2300.0000000232917
F22,30,CREO-DE-NoRG,2577.0317900704677,988.2763003027494,2366.078052833902,7809.319744459406
F22,30,CREO-DE,2549.7808585900657,54.240857357108816,2485.8648749868744,2704.494277355455
F23,30,DE,2707.1404463066415,59.95561835498439,2654.5102327042177,2851.7083338928805
F23,30,CREO-DE-NoRG,2862.937881097423,8.336706449613676,2847.6847308167635,2880.2632722910157
F23,30,CREO-DE,3018.881553895318,31.240233451679995,2935.4267316113633,3062.27950747229
F24,30,DE,2821.8767543677995,33.762119328424625,2767.987396754692,2973.4174619134524
F24,30,CREO-DE-NoRG,3021.752543973214,11.125385647871564,2995.090494813384,3039.1120014743497
F24,30,CREO-DE,3178.560368909065,22.67434250051597,3127.4022844890806,3230.360564523632
F25,30,DE,2899.4749645665647,0.020321381771432476,2899.4473155032138,2899.5211795415416
F25,30,CREO-DE-NoRG,2922.2726828090936,5.795783590011854,2906.317071848304,2930.738440391409
F25,30,CREO-DE,3032.5052317893715,29.414945868971873,2982.067426478384,3109.901124518538
F26,30,DE,3043.2396754130523,493.9497167917527,2800.0000000062696,5227.3494783035685
F26,30,CREO-DE-NoRG,5528.483588043471,473.3104960471417,3135.378711111551,5868.142649388399
F26,30,CREO-DE,5978.22244805933,1516.3284158322504,3548.330067320646,7411.444569530481
F27,30,DE,3235.2156911310826,12.098648179083984,3211.8353100325985,3267.1784086998805
F27,30,CREO-DE-NoRG,3308.0709627804567,17.30454178981182,3273.442246301987,3338.8737642484057
F27,30,CREO-DE,3447.1426025992846,29.469623921881627,3384.338357911023,3499.1209396732206
F28,30,DE,3120.6571446188773,42.020567108429496,3100.000000012361,3203.2859193929066
F28,30,CREO-DE-NoRG,3250.1445638731143,16.713261096032284,3197.6305353771504,3278.8840443775625
F28,30,CREO-DE,3570.4803263688245,76.73847361535786,3444.8111165049777,3721.3605353589046
F29,30,DE,3446.806471324374,70.59243858931966,3349.8660309746765,3722.734962124022
F29,30,CREO-DE-NoRG,3904.1837775179783,140.01858389324562,3579.1313485908277,4109.605400339622
F29,30,CREO-DE,4360.637906669972,182.18713467050125,3897.4142473710244,4685.942742659815
F30,30,DE,6754.010186973063,589.7334941222053,6160.268259876317,8679.827356907423
F30,30,CREO-DE-NoRG,3367148.121185762,945828.0090363639,1859525.6798343358,5596172.252683469
F30,30,CREO-DE,37093388.33301036,13432295.077560367,13585734.951752666,73073228.78618795
