Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F5,30,PSO,644.1854726520008,41.71261910969922,565.6672070419762,746.7476812359446,100.0,0.0
F5,30,DE,654.6233066881994,59.46872578526593,530.1333440019469,710.2616640539904,100.0,0.0
F5,30,CREO-Repair,695.0388157304532,34.22034798943488,614.4484454714049,761.7023850919868,100.0,0.0
F5,30,CREO-RG,712.974708388347,31.99496800070602,637.3255143769595,776.6168030387676,100.0,0.0
F5,30,GA,732.8974635577011,16.213966512660786,706.4078784986814,764.0589228269812,100.0,0.0
F5,30,CREO-DE,745.1913556434555,15.468945902754376,713.4235324659458,770.8782205203418,100.0,0.0
F5,30,GWO,791.1712739195062,12.621572841748625,767.3569211979394,814.1755170222011,100.0,0.0
