Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F18,30,DE,10779.440479768966,8607.891968128777,1963.1574736469574,32172.934307217627,100.0,0.0
F18,30,PSO,65369.11431807453,46775.60104846997,8596.625399365028,187431.22057804896,100.0,0.0
F18,30,CREO-Repair,71972.57615810749,22799.32250889004,35525.635609895544,121600.79633840408,100.0,0.0
F18,30,CREO-RG,73472.1030051672,26007.837999674855,27798.514594120155,133711.3062457543,100.0,0.0
F18,30,CREO-DE,567619.144452807,210073.89803352492,249957.87976695344,1082760.3811192578,100.0,0.0
F18,30,GA,1319458.3385897886,579005.430604848,550719.9110345228,2646512.6119143274,100.0,0.0
F18,30,GWO,2606293.046304705,2394637.6286236965,949799.1147605878,8756472.898957666,100.0,0.0
