Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F1,30,DE,100.00000314274845,1.2741939960521897e-05,100.00000005104373,100.00007040076385,100.0,0.0
F1,30,PSO,2654.622054600979,3507.8372770193773,100.2454126641143,12692.011776766733,100.0,0.0
F1,30,CREO-RG,45024.58480329012,6578.0156058392795,30532.809032784626,58946.69073389443,100.0,0.0
F1,30,CREO-Repair,51696.58998077039,5850.690663663508,40538.1955745742,67836.66192226138,100.0,0.0
F1,30,CREO-DE,1223506372.155757,409191728.8026704,589051930.7053354,2393804290.795942,100.0,0.0
F1,30,GA,2768597269.4969497,479154867.3791139,2023704761.4386325,4387979197.535589,100.0,0.0
F1,30,GWO,13219681941.79293,1994439425.4942157,9982815498.217844,16601678819.083817,100.0,0.0
