Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F4,30,DE,415.16907591001825,27.01053832318821,400.00001200804513,468.0886714670878,100.0,0.0
F4,30,PSO,454.3276282788557,60.90652458238135,400.00000012891746,548.8633628480366,100.0,0.0
F4,30,CREO-Repair,540.7001830861642,49.287952085689426,407.8062098189157,616.9909643951233,100.0,0.0
F4,30,CREO-RG,609.4598430584712,65.15728791339919,472.16209012230064,743.893942655568,100.0,0.0
F4,30,GA,1031.6347733073565,135.1846075476378,862.6070784407863,1440.1930529960239,100.0,0.0
F4,30,CREO-DE,1149.8731872489095,188.19852979116376,823.4199999109669,1567.4899428664544,100.0,0.0
F4,30,GWO,2652.2043408217673,388.820624825224,1811.91198984437,3502.0743599650013,100.0,0.0
