Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F29,30,DE,3447.3697099476217,42.13272577036349,3353.0290376888825,3559.4557054983693,100.0,0.0
F29,30,PSO,3882.4960318591357,262.0707701480565,3442.1998170595807,4448.090702337373,100.0,0.0
F29,30,GA,4304.916884869404,168.4651081718077,3982.245252117108,4703.692763065146,100.0,0.0
F29,30,CREO-DE,4384.36216942105,137.52760785006453,4003.5704331840384,4618.490065422424,100.0,0.0
F29,30,CREO-Repair,4794.582834872634,359.81375726103477,4163.85174489266,5665.854220186707,100.0,0.0
F29,30,CREO-RG,4814.581288000217,336.10700282797956,4210.757642715483,5744.121708193856,100.0,0.0
F29,30,GWO,5015.400042935199,206.7340624266695,4473.033945804948,5490.547608168623,100.0,0.0
