Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F3,30,PSO,300.0000000000012,4.494647774988065e-12,300.0000000000001,300.00000000002495,100.0,0.0
F3,30,DE,1072.0756979062396,671.6660922026836,430.5520577048603,3441.7105678387697,100.0,0.0
F3,30,CREO-Repair,2657.188887556841,2872.4772933035306,300.1836645732426,12711.893534360097,100.0,0.0
F3,30,CREO-RG,9892.857465870451,5030.422858571692,1366.2081066376031,19641.752319028932,100.0,0.0
F3,30,GA,22416.048207975648,4940.068121513763,14171.594392066607,35327.982823875594,100.0,0.0
F3,30,CREO-DE,50134.46617517084,8863.846616154304,28120.588405651128,68404.95818027636,100.0,0.0
F3,30,GWO,76083.03451882163,5683.579009148477,63552.10369262076,86971.54679214895,100.0,0.0
