Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F20,30,DE,2166.0558398127255,65.96171107887035,2121.758028780606,2404.4214847276803,100.0,0.0
F20,30,PSO,2486.8721453255107,186.79870409746468,2247.294734913721,2915.591581519589,100.0,0.0
F20,30,GA,2582.163691894436,73.55917072403233,2433.9845873156746,2729.5357913014423,100.0,0.0
F20,30,CREO-DE,2607.3880700924396,109.84787327855135,2379.6933117871745,2823.9896035652237,100.0,0.0
F20,30,GWO,2663.762529400185,152.81091509571982,2463.8384835091465,3025.600736123025,100.0,0.0
F20,30,CREO-RG,2764.4717104161014,242.7937432383462,2250.0292012227846,3246.427457748663,100.0,0.0
F20,30,CREO-Repair,2828.1650347595837,263.7251663091849,2307.0221793813444,3501.1388337058675,100.0,0.0
