Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F30,30,DE,6592.326655460331,400.60095881806717,6009.6208096959435,7729.459806773061,100.0,0.0
F30,30,PSO,8136.6911054708125,1571.5127033733654,6213.985046831119,13541.530942107025,100.0,0.0
F30,30,CREO-Repair,237693.2861751016,152899.85867198984,43188.33196063777,699736.2140268969,100.0,0.0
F30,30,CREO-RG,321777.8468752155,225341.6830797925,116944.9602352118,920478.3189840132,100.0,0.0
F30,30,GA,22471996.248803243,7697768.71454775,11739006.043451512,43141168.535467945,100.0,0.0
F30,30,CREO-DE,37055311.20697664,15214143.738667592,4337047.126876659,64980995.70535382,100.0,0.0
F30,30,GWO,81010558.21202867,32696320.75004905,18723714.156575866,173113959.32397002,100.0,0.0
