Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F17,30,DE,1802.910478435416,94.33767015769705,1720.1247456375238,2053.8946823337496,100.0,0.0
F17,30,PSO,2239.832799890386,227.84439030637844,1792.8062130004798,2874.572016585313,100.0,0.0
F17,30,GA,2242.1134314743676,113.6583840402286,2069.492674214257,2519.592207791689,100.0,0.0
F17,30,CREO-DE,2377.8743639850604,121.59832676188272,2186.901986808412,2654.874028003117,100.0,0.0
F17,30,GWO,2649.904754964344,232.5572771424541,2344.9209804591387,3631.994353594915,100.0,0.0
F17,30,CREO-Repair,2676.4766735008743,374.04815753433405,1958.8910377461757,3550.5076454862433,100.0,0.0
F17,30,CREO-RG,2768.3583956289867,290.15905246387393,1975.4033269479537,3195.2233885746878,100.0,0.0
