Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F10,30,PSO,4596.730843804745,677.695401318869,3506.7210161230014,6295.615687749773,100.0,0.0
F10,30,CREO-Repair,5537.688972880668,517.4678603387918,4435.333685810625,6559.854910398875,100.0,0.0
F10,30,CREO-RG,5615.084465028192,621.3594498756571,4535.991829995564,6881.596286629538,100.0,0.0
F10,30,GWO,6185.936423255906,264.2610306462593,5683.6735396662325,6652.994330696521,100.0,0.0
F10,30,CREO-DE,7861.127075450113,303.7844009741897,7007.078703724649,8373.809832683502,100.0,0.0
F10,30,DE,7928.520678166154,1316.5531866048993,4309.038451256105,9199.84350797352,100.0,0.0
F10,30,GA,8012.226964780931,297.14120847857333,7218.800967889766,8591.964401055193,100.0,0.0
