Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F26,30,DE,2955.257593226327,299.4070612618883,2800.000000010029,4183.224465758852,100.0,0.0
F26,30,PSO,4411.224421755562,1826.0119092463526,2800.0000000000014,7053.470909850497,100.0,0.0
F26,30,GA,4749.934748466814,1365.3638321446592,3463.6509546963644,7132.114975922757,100.0,0.0
F26,30,CREO-DE,5555.201746559683,1558.1218310477584,3462.6050930799775,7198.150075687941,100.0,0.0
F26,30,GWO,6528.386592835897,448.02381861107506,5906.920046741619,7853.232839404898,100.0,0.0
F26,30,CREO-Repair,7680.003868625086,2140.6402883009455,2805.8420299938525,9897.710865057543,100.0,0.0
F26,30,CREO-RG,7872.558157538283,1542.7852738081674,3687.731860033653,9922.581838959995,100.0,0.0
