Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F9,30,DE,900.1090745201996,0.5974257516224621,900.0,903.2722356059811,100.0,0.0
F9,30,CREO-DE,2089.949239190476,388.24852985668366,1468.2599833247382,3013.966383329081,100.0,0.0
F9,30,GA,2388.1297258810987,346.034302365027,1862.0264772802584,3328.5624773458944,100.0,0.0
F9,30,PSO,2978.406006429645,1251.140360860024,1173.9844913758252,5610.832543432782,100.0,0.0
F9,30,GWO,4011.7334699792145,421.061501321181,3370.066251864167,5173.807492708813,100.0,0.0
F9,30,CREO-RG,4596.933628331809,975.9229956337739,3227.607158535687,8176.682401984781,100.0,0.0
F9,30,CREO-Repair,4792.9531062332635,808.1414426978382,3169.8283373526983,6400.156218516793,100.0,0.0
