Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F28,30,PSO,3106.885713331772,26.204421968703283,3100.000000000003,3203.2857166554513,100.0,0.0
F28,30,DE,3127.5428523892365,46.45547239565011,3100.000000005861,3203.2857227374957,100.0,0.0
F28,30,CREO-Repair,3261.007372229492,35.30620340053227,3194.7114301613556,3348.3537580874245,100.0,0.0
F28,30,CREO-RG,3340.68043160332,62.23913623766792,3209.2895418236503,3482.7082860158907,100.0,0.0
F28,30,GA,3553.5085548785796,52.990384260902886,3466.981968316412,3692.8319469090648,100.0,0.0
F28,30,CREO-DE,3575.453018110165,96.08593393294288,3409.172295545999,3844.5216522350197,100.0,0.0
F28,30,GWO,4228.8352800453995,183.57445299430603,4003.6538410189646,4789.034664732097,100.0,0.0
