Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F27,30,DE,3235.2041129249324,12.018105240180406,3207.4287003214936,3254.8314809779154,100.0,0.0
F27,30,CREO-DE,3442.0327572815013,32.44160835191946,3381.5117385768385,3526.2502957459405,100.0,0.0
F27,30,PSO,3470.1143350570305,103.94671604145148,3318.9048194555494,3756.515041741016,100.0,0.0
F27,30,GA,3541.181976246333,51.45812020143811,3443.4338841324156,3670.8086566068655,100.0,0.0
F27,30,GWO,4154.719050072293,81.87818920201966,3999.77860421658,4346.003188925335,100.0,0.0
F27,30,CREO-Repair,4441.512237263099,271.1444701909529,3990.969249302394,5138.186590822711,100.0,0.0
F27,30,CREO-RG,4507.845981249827,291.5786788353935,3921.666223036207,5320.132314313378,100.0,0.0
