Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F25,30,DE,2899.3579200017016,0.6356061631313759,2895.9934761310105,2899.513111181402,100.0,0.0
F25,30,PSO,2908.358071421424,18.11159847693993,2891.857946982956,2952.9353375758046,100.0,0.0
F25,30,CREO-Repair,2943.9475392923987,19.464550845228967,2896.83405766875,2976.139996884807,100.0,0.0
F25,30,CREO-RG,2956.4209383757034,24.597967797743397,2901.8339861960535,2990.3187842163165,100.0,0.0
F25,30,CREO-DE,3033.1815099840414,32.86064556313336,2980.588660736116,3114.6307483276996,100.0,0.0
F25,30,GA,3099.3170167042026,36.06571978034183,3029.878451604675,3194.0050353258694,100.0,0.0
F25,30,GWO,3228.671439280485,42.879806930467474,3160.439472760009,3378.933247624037,100.0,0.0
