Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F21,30,PSO,2427.5103998009927,72.85996740004252,2200.0000000000055,2535.539792418892,100.0,0.0
F21,30,DE,2464.007032805886,46.10849317288014,2330.161293897345,2515.9227880027797,100.0,0.0
F21,30,CREO-Repair,2513.919270290292,39.585846361469976,2440.258429131195,2626.8836147964166,100.0,0.0
F21,30,GA,2528.5912030191876,18.95042543060402,2476.9394102983324,2564.6698312220606,100.0,0.0
F21,30,CREO-RG,2535.9329007991287,42.931867065608465,2438.500800110496,2620.4890592312886,100.0,0.0
F21,30,CREO-DE,2549.523758475645,14.078245567564165,2515.884895313485,2571.310512251811,100.0,0.0
F21,30,GWO,2565.835193787177,19.944055124361466,2527.5585245897523,2623.6709975215754,100.0,0.0
