Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F15,30,DE,1526.5079264324895,19.654970733803932,1504.565128101227,1560.0996154472505,100.0,0.0
F15,30,PSO,3720.4997887829554,2841.6292626468944,1654.109179299327,14530.097995248683,100.0,0.0
F15,30,CREO-RG,23690.850430948358,9211.12850797297,11991.10303304398,47378.32723756499,100.0,0.0
F15,30,CREO-Repair,31789.287867097628,19177.804659338188,10148.449074232934,79843.80955474431,100.0,0.0
F15,30,CREO-DE,2825049.8739243285,1350537.369588675,662521.5136743695,5965615.2297562165,100.0,0.0
F15,30,GWO,4230354.180964623,2462436.61655464,1676481.5134051575,9306619.206191069,100.0,0.0
F15,30,GA,14678476.766646948,5269757.526960211,5239858.151098174,29706042.963175315,100.0,0.0
