Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F14,30,DE,1465.5911514312882,23.556422978137746,1408.0027518352526,1501.1024295802883,100.0,0.0
F14,30,CREO-Repair,2987.120294767991,1737.5067142987189,1678.528154356166,10524.023709611381,100.0,0.0
F14,30,CREO-RG,2994.9603334485723,2231.4873243934103,1633.5893740057365,10920.879326700588,100.0,0.0
F14,30,PSO,4716.137876999133,2868.24031159527,1627.0651452242635,12916.698530855678,100.0,0.0
F14,30,CREO-DE,62993.00506160664,39137.020865836195,7312.570688003812,160003.68444926286,100.0,0.0
F14,30,GA,70033.49260763665,30835.305182844662,17391.70943638528,138715.6004455835,100.0,0.0
F14,30,GWO,898550.5572934614,352564.3675031327,145050.53453288478,1773335.2003250855,100.0,0.0
