Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F13,30,DE,1403.0445876596018,20.412630518961645,1360.2858306354963,1460.4874904253077,100.0,0.0
F13,30,PSO,11281.667440357094,6576.833547166807,1748.4660389013357,19486.69107530335,100.0,0.0
F13,30,CREO-RG,46124.48840472417,14511.842757005643,20893.957316004275,82501.13075411116,100.0,0.0
F13,30,CREO-Repair,46973.52242923287,18560.384287437293,22934.38008721019,108781.32032911624,100.0,0.0
F13,30,GA,114320161.81008987,40270862.834042445,44785659.29307791,199849531.79757124,100.0,0.0
F13,30,CREO-DE,160248299.12590933,97556106.87304364,28037968.932479504,408695365.7509371,100.0,0.0
F13,30,GWO,701258420.6962318,274990974.92291176,272640245.1063717,1269578620.7504287,100.0,0.0
