Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F24,10,DE,2552.304445060125,97.76718690831528,2400.0,2726.735143402582,100.0,0.0
F24,10,PSO,2678.5359491010286,113.34842239184657,2500.0000000000005,2772.805288236149,100.0,0.0
F24,10,GA,2689.3684711649385,106.83284536519835,2525.024294330809,2771.7729759611384,100.0,0.0
F24,10,CREO-DE,2696.0970924015287,119.20206927260034,2501.2718767860897,2776.9355482115016,100.0,0.0
F24,10,CREO-RG,2752.2692543537974,207.47116317504978,2500.0813451188933,3024.3202408670522,100.0,0.0
F24,10,GWO,2764.5253029741007,42.29969767731484,2559.6995480056016,2806.2615290324065,100.0,0.0
F24,10,CREO-Repair,2777.0040180230253,176.43699041057218,2500.0987772142007,2958.004787555201,100.0,0.0
