Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F16,10,DE,1616.0287468316799,40.9037744483125,1600.022033442311,1718.7592762957968,100.0,0.0
F16,10,CREO-DE,1649.8472539491372,19.904860883448134,1611.18733237925,1687.248051432205,100.0,0.0
F16,10,GA,1672.2629477229389,42.06693928662803,1625.9830584944043,1760.8604580122078,100.0,0.0
F16,10,PSO,1875.1268477957158,106.88946671578991,1600.5813933881102,2006.218739722176,100.0,0.0
F16,10,GWO,1899.1026408619173,93.10314180366069,1772.0583375004892,2144.154907346572,100.0,0.0
F16,10,CREO-Repair,2000.052226447199,153.36625488913907,1721.3001710422773,2297.1323664949105,100.0,0.0
F16,10,CREO-RG,2020.8236148082506,120.78982334104671,1720.9267252748916,2259.411260237476,100.0,0.0
