Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F6,10,DE,600.0000000055649,2.128503552544481e-08,600.0000000000209,600.0000001176495,100.0,0.0
F6,10,PSO,601.0078893321956,1.3709912562603033,600.0000000000001,604.092228218534,100.0,0.0
F6,10,CREO-DE,601.9177565082435,0.5052588651733558,601.0190565227472,602.7405781934852,100.0,0.0
F6,10,GA,608.9238252670588,1.4027835503238404,605.1424557742062,611.323318068112,100.0,0.0
F6,10,GWO,609.3775141093658,3.330510864563198,603.4405009774654,615.4493909533812,100.0,0.0
F6,10,CREO-Repair,635.7380661859485,9.859241008705473,615.8380350677012,662.5525601868073,100.0,0.0
F6,10,CREO-RG,635.7860175464124,7.756619788354515,617.4643851905394,649.4697151839162,100.0,0.0
