Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F25,10,CREO-DE,2900.8069829260066,5.469802035348435,2897.887390256372,2913.520090841383,100.0,0.0
F25,10,DE,2902.3690008433277,11.887862829008908,2897.7428694699875,2943.529100786856,100.0,0.0
F25,10,PSO,2927.047110211419,22.135098958485123,2897.762446501485,2949.291683182767,100.0,0.0
F25,10,GA,2929.3238232455265,18.650328709552344,2907.389532799905,2955.049846422972,100.0,0.0
F25,10,GWO,2935.525197923763,13.070537572400099,2913.2598402800145,2991.475014338262,100.0,0.0
F25,10,CREO-RG,2939.937879742454,35.4987696298619,2897.7588447805324,2989.7130091129857,100.0,0.0
F25,10,CREO-Repair,2952.795719780602,39.598948618074104,2898.2754458025497,3027.0204875742775,100.0,0.0
