Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F12,10,DE,1206.018256268315,21.68712566161302,1200.000000000496,1318.6464776742919,100.0,0.0
F12,10,PSO,10808.132824670245,8841.70371134394,1890.5678448256317,35662.554954212326,100.0,0.0
F12,10,CREO-Repair,45757.78387847458,94299.5400688735,5285.916702283614,507790.4560127679,100.0,0.0
F12,10,CREO-DE,104189.02313866475,49452.710966328115,29040.615464935905,269247.9533001309,100.0,0.0
F12,10,CREO-RG,205953.2883995789,442713.94045306044,3703.15068429859,2283059.7102406793,100.0,0.0
F12,10,GWO,2116991.5870764274,2667687.297162816,51101.60641346366,12539158.438796207,100.0,0.0
F12,10,GA,2966951.4119051504,1433929.8423668866,426577.5748568417,6425719.2738448195,100.0,0.0
