Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F30,10,DE,3647.995565787913,0.2742905786308685,3647.595203479731,3648.546093531669,100.0,0.0
F30,10,CREO-DE,17915.581357348197,17592.575475512363,6998.510291476923,94812.41070961553,100.0,0.0
F30,10,GA,219122.48951985172,149088.04276398287,15502.28553600413,558711.3593982067,100.0,0.0
F30,10,PSO,355357.9345687636,1334993.0071051668,3200.0,5892434.456836742,100.0,0.0
F30,10,GWO,1199441.5642275205,656320.9715369466,407205.5038679961,3609479.7214598623,100.0,0.0
F30,10,CREO-Repair,2145889.403450379,4739944.9253042275,16374.20618479269,18888480.86052949,100.0,0.0
F30,10,CREO-RG,4384565.917872942,9047444.519892443,19332.26790181618,41097304.08707569,100.0,0.0
