Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F29,10,DE,3135.923075904344,4.33109056258306,3128.8289131871747,3144.9998128634215,100.0,0.0
F29,10,CREO-DE,3189.9786475551837,11.51699062019347,3162.233248048091,3215.349456709657,100.0,0.0
F29,10,GA,3206.279433361125,16.218765336814947,3180.3221303373443,3246.2783873567987,100.0,0.0
F29,10,PSO,3215.7103614472353,44.89037172161832,3160.7717461214465,3332.483888336762,100.0,0.0
F29,10,GWO,3260.9514133973507,35.37040928799388,3225.7100697745072,3370.0899146643123,100.0,0.0
F29,10,CREO-Repair,3332.1563402871416,93.1681023137176,3183.53307236151,3500.950359500788,100.0,0.0
F29,10,CREO-RG,3397.7274715117837,128.1451175817189,3236.7684665099655,3721.2119077068523,100.0,0.0
