Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F15,10,DE,1500.4708881172396,0.6238731124959453,1500.0000052259472,1501.9942658639056,100.0,0.0
F15,10,PSO,1554.7548155829404,105.01422974055117,1505.4608718199886,2098.027873887886,100.0,0.0
F15,10,GA,1869.9593991049194,141.9857463068675,1656.2476475544056,2176.741961880535,100.0,0.0
F15,10,CREO-DE,2193.770138588647,709.8607868072659,1647.9996530123694,4349.681519955314,100.0,0.0
F15,10,GWO,7985.173469159578,2631.9919816120773,3260.0667668618144,14111.59311725205,100.0,0.0
F15,10,CREO-Repair,10333.186071961816,6020.765316678657,3474.956570421455,27742.17466130045,100.0,0.0
F15,10,CREO-RG,14232.219138878925,12650.932719513134,2060.7413222656432,58277.1128593664,100.0,0.0
