Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F21,10,CREO-DE,2241.931030334263,63.77595240983317,2200.490700938158,2344.717245831529,100.0,0.0
F21,10,DE,2253.2678146324993,58.11212064282682,2200.0,2328.899652965443,100.0,0.0
F21,10,PSO,2304.894927126722,42.63225677282362,2200.0000000000005,2336.7292299434434,100.0,0.0
F21,10,GA,2310.095688020731,48.47185994602671,2203.4646230418184,2339.7282858813037,100.0,0.0
F21,10,CREO-Repair,2313.183154130352,63.04311900258575,2200.0043695136687,2376.718895194265,100.0,0.0
F21,10,CREO-RG,2329.0664049832917,62.162057538589465,2203.9373306332177,2411.0423099916047,100.0,0.0
F21,10,GWO,2330.227661760205,32.79096497732215,2210.508951707497,2348.7750103423605,100.0,0.0
