Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F18,10,DE,1800.2152391757963,0.4024426638730385,1800.0000212504085,1801.023671144889,100.0,0.0
F18,10,PSO,4503.446723707015,2694.7505440450955,2016.4338546250824,11337.925138753166,100.0,0.0
F18,10,CREO-RG,6109.026563320286,3295.2895591828633,2023.7213686692132,12542.144521891614,100.0,0.0
F18,10,CREO-Repair,7522.166958786373,4043.5937699738765,1919.6298777733068,15334.305887290364,100.0,0.0
F18,10,CREO-DE,9312.51283632059,5859.959803332309,3539.2768106379776,27933.279386178277,100.0,0.0
F18,10,GWO,10028.716175342426,1881.8019159258326,4432.7728572847245,14694.738166756786,100.0,0.0
F18,10,GA,22663.373690104017,20095.99691783039,3707.5870463854444,99451.5271568426,100.0,0.0
