Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F10,10,PSO,1663.2100554970225,270.63237722513145,1217.514396036805,2384.997157586677,100.0,0.0
F10,10,DE,1698.8803651739488,458.2483986964945,1000.4758238675076,2512.1579687737435,100.0,0.0
F10,10,GA,1919.1841555116991,184.52712246362412,1509.6737000930057,2227.4000956748455,100.0,0.0
F10,10,GWO,2167.2530346980425,186.14922590483874,1708.413343584752,2551.2796032135116,100.0,0.0
F10,10,CREO-DE,2173.322557292898,145.24625913459812,1861.9462183726578,2416.3970892197412,100.0,0.0
F10,10,CREO-Repair,2266.2380709449108,362.7329862071545,1299.8000293825444,2865.4536108971765,100.0,0.0
F10,10,CREO-RG,2367.295213188205,367.0294996575075,1794.751163516727,3092.3756466305126,100.0,0.0
