Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F23,10,DE,2608.2155273793805,2.0228758622524845,2605.2365453524385,2612.6749234026615,100.0,0.0
F23,10,GA,2642.9313205432645,5.905674316457022,2631.2473689427397,2653.799587337256,100.0,0.0
F23,10,PSO,2646.114586677219,22.2836194197687,2617.547561742769,2694.8558475011105,100.0,0.0
F23,10,CREO-DE,2646.278382788106,5.632447431784966,2631.4648593014995,2655.9267701525227,100.0,0.0
F23,10,GWO,2670.568027038613,16.382141030423867,2638.147615896292,2701.38483328977,100.0,0.0
F23,10,CREO-Repair,2754.126245830176,53.20062538539508,2669.627453921127,2856.6164645965755,100.0,0.0
F23,10,CREO-RG,2780.855430845362,56.33013752433974,2671.77944825046,2927.997531860745,100.0,0.0
