Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F11,10,DE,1101.0281243590207,0.7610347269354077,1100.0,1101.9899181142075,100.0,0.0
F11,10,PSO,1118.6588123016218,17.905387730605447,1100.9959890603122,1185.5638508575876,100.0,0.0
F11,10,CREO-DE,1121.5182501447111,3.918606223214761,1112.8017132085597,1129.0753269609809,100.0,0.0
F11,10,GA,1145.7691413733419,10.867025598981671,1127.3337638157057,1179.087709565508,100.0,0.0
F11,10,CREO-Repair,1154.3275647299852,33.093387206715455,1109.9725720276604,1258.9299581549822,100.0,0.0
F11,10,CREO-RG,1168.9526704813024,31.662439268180382,1127.8841928421034,1263.108017583123,100.0,0.0
F11,10,GWO,1189.3487506066017,31.195120782307384,1155.2063802677449,1321.0211202474088,100.0,0.0
