Function,Dimension,Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
F22,10,CREO-DE,2292.389129922686,29.22559213264634,2220.844093198069,2309.2646152083125,100.0,0.0
F22,10,DE,2301.4579829756944,1.1304574014007744,2300.0000000000214,2304.189513940115,100.0,0.0
F22,10,PSO,2301.8390715171995,1.3600320593628514,2300.290164841817,2305.908309811513,100.0,0.0
F22,10,GA,2323.579383769886,12.884225850360611,2258.7251532005344,2335.220945301861,100.0,0.0
F22,10,GWO,2336.3995309446254,12.49122147048276,2330.640880678673,2384.2985256739375,100.0,0.0
F22,10,CREO-Repair,2591.997073171161,99.96171076707334,2354.5012329119554,2812.516731785127,100.0,0.0
F22,10,CREO-RG,2647.98765635923,140.22189718459978,2279.116280197014,3063.4873182114047,100.0,0.0
