Algorithm,Mean,Std,Best,Worst,FeasibleRate(%),MeanViolation
DE,1727.0644798360843,25.20005947518948,1693.0515124881333,1775.6981264464432,100.0,0.0
PSO,14619.446283262467,46703.08926404553,1715.1121512668838,207296.11047402406,100.0,0.0
CREO-DE,60205.029180676,21683.711801261954,21877.609356740562,115279.24740245615,100.0,0.0
CREO-Repair,78414.97858353924,167600.89283048196,2439.9819359133253,673973.4556719833,100.0,0.0
GA,4260869.6770316865,1095212.7569399183,1554081.3447617397,6719283.516400434,100.0,0.0
CREO-RG,5024640.154743141,8342158.218621643,2485.336086260145,29039803.708756503,100.0,0.0
GWO,22775565.235761177,6457880.607304228,11563085.98420795,31860362.6423792,100.0,0.0
