Function,Dimension,Algorithm,Mean Rank
F1,10,DE,1.0
F1,10,PSO,2.066666666666667
F1,10,CREO-Repair,3.1333333333333333
F1,10,CREO-DE,4.4
F1,10,CREO-RG,4.766666666666667
F1,10,GA,5.733333333333333
F1,10,GWO,6.9
F3,10,DE,1.3333333333333333
F3,10,PSO,1.6666666666666667
F3,10,CREO-DE,3.0
F3,10,GA,4.566666666666666
F3,10,CREO-Repair,5.233333333333333
F3,10,CREO-RG,5.733333333333333
F3,10,GWO,6.466666666666667
F4,10,DE,1.0
F4,10,PSO,2.1333333333333333
F4,10,CREO-DE,3.033333333333333
F4,10,GA,4.466666666666667
F4,10,CREO-Repair,4.8
F4,10,CREO-RG,6.166666666666667
F4,10,GWO,6.4
F5,10,DE,1.1666666666666667
F5,10,PSO,2.7
F5,10,GA,3.3666666666666667
F5,10,CREO-DE,3.8
F5,10,GWO,5.033333333333333
F5,10,CREO-Repair,5.9
F5,10,CREO-RG,6.033333333333333
F6,10,DE,1.1
F6,10,PSO,2.1666666666666665
F6,10,CREO-DE,2.7333333333333334
F6,10,GA,4.433333333333334
F6,10,GWO,4.566666666666666
F6,10,CREO-Repair,6.466666666666667
F6,10,CREO-RG,6.533333333333333
F7,10,PSO,1.2333333333333334
F7,10,DE,2.6
F7,10,CREO-RG,3.8666666666666667
F7,10,CREO-DE,4.066666666666666
F7,10,CREO-Repair,4.933333333333334
F7,10,GWO,5.233333333333333
F7,10,GA,6.066666666666666
F8,10,PSO,2.5
F8,10,DE,2.6333333333333333
F8,10,CREO-RG,3.033333333333333
F8,10,CREO-Repair,4.2
F8,10,GWO,4.5
F8,10,GA,4.9
F8,10,CREO-DE,6.233333333333333
F9,10,DE,1.2666666666666666
F9,10,PSO,1.9333333333333333
F9,10,CREO-DE,2.8
F9,10,GWO,4.466666666666667
F9,10,GA,4.633333333333334
F9,10,CREO-RG,6.2
F9,10,CREO-Repair,6.7
F10,10,PSO,1.8666666666666667
F10,10,DE,2.6333333333333333
F10,10,GA,3.066666666666667
F10,10,CREO-DE,4.733333333333333
F10,10,GWO,4.866666666666666
F10,10,CREO-Repair,5.366666666666666
F10,10,CREO-RG,5.466666666666667
F11,10,DE,1.0333333333333334
F11,10,PSO,2.466666666666667
F11,10,CREO-DE,2.9
F11,10,GA,4.666666666666667
F11,10,CREO-Repair,4.866666666666666
F11,10,CREO-RG,5.6
F11,10,GWO,6.466666666666667
F12,10,DE,1.0
F12,10,PSO,2.433333333333333
F12,10,CREO-Repair,3.3
F12,10,CREO-RG,3.8666666666666667
F12,10,CREO-DE,4.7
F12,10,GWO,5.933333333333334
F12,10,GA,6.766666666666667
F13,10,DE,1.0
F13,10,CREO-DE,2.6333333333333333
F13,10,CREO-RG,4.466666666666667
F13,10,PSO,4.566666666666666
F13,10,GWO,4.8
F13,10,CREO-Repair,4.933333333333334
F13,10,GA,5.6
F14,10,DE,1.0
F14,10,PSO,2.033333333333333
F14,10,GA,3.3
F14,10,CREO-DE,3.933333333333333
F14,10,CREO-Repair,5.6
F14,10,CREO-RG,6.0
F14,10,GWO,6.133333333333334
F15,10,DE,1.0
F15,10,PSO,2.033333333333333
F15,10,GA,3.3333333333333335
F15,10,CREO-DE,3.6666666666666665
F15,10,GWO,5.733333333333333
F15,10,CREO-RG,6.066666666666666
F15,10,CREO-Repair,6.166666666666667
F16,10,DE,1.2
F16,10,CREO-DE,2.2666666666666666
F16,10,GA,2.7
F16,10,PSO,4.833333333333333
F16,10,GWO,4.9
F16,10,CREO-Repair,5.866666666666666
F16,10,CREO-RG,6.233333333333333
F17,10,DE,1.0
F17,10,GA,3.466666666666667
F17,10,PSO,3.6
F17,10,CREO-DE,3.7333333333333334
F17,10,CREO-RG,5.1
F17,10,CREO-Repair,5.4
F17,10,GWO,5.7
F18,10,DE,1.0
F18,10,PSO,2.7333333333333334
F18,10,CREO-RG,3.8333333333333335
F18,10,CREO-Repair,4.166666666666667
F18,10,CREO-DE,4.7
F18,10,GWO,5.333333333333333
F18,10,GA,6.233333333333333
F19,10,DE,1.0
F19,10,PSO,2.4
F19,10,CREO-DE,3.1666666666666665
F19,10,GA,3.966666666666667
F19,10,CREO-Repair,5.166666666666667
F19,10,CREO-RG,5.433333333333334
F19,10,GWO,6.866666666666666
F20,10,DE,1.0
F20,10,GA,2.933333333333333
F20,10,CREO-DE,3.4
F20,10,PSO,3.5
F20,10,GWO,5.433333333333334
F20,10,CREO-Repair,5.8
F20,10,CREO-RG,5.933333333333334
F21,10,DE,1.9333333333333333
F21,10,CREO-DE,2.8
F21,10,PSO,3.3333333333333335
F21,10,GA,3.966666666666667
F21,10,CREO-Repair,4.9
F21,10,GWO,5.333333333333333
F21,10,CREO-RG,5.733333333333333
F22,10,DE,1.7
F22,10,PSO,1.9
F22,10,CREO-DE,2.566666666666667
F22,10,GA,4.0
F22,10,GWO,4.966666666666667
F22,10,CREO-Repair,6.366666666666666
F22,10,CREO-RG,6.5
F23,10,DE,1.0
F23,10,GA,2.933333333333333
F23,10,PSO,3.033333333333333
F23,10,CREO-DE,3.3333333333333335
F23,10,GWO,4.766666666666667
F23,10,CREO-Repair,6.366666666666666
F23,10,CREO-RG,6.566666666666666
F24,10,DE,1.5666666666666667
F24,10,PSO,2.966666666666667
F24,10,GA,4.0
F24,10,CREO-DE,4.266666666666667
F24,10,CREO-RG,4.8
F24,10,GWO,4.9
F24,10,CREO-Repair,5.5
F25,10,DE,1.4666666666666666
F25,10,CREO-DE,2.3
F25,10,PSO,4.366666666666666
F25,10,GA,4.633333333333334
F25,10,GWO,4.766666666666667
F25,10,CREO-RG,4.9
F25,10,CREO-Repair,5.566666666666666
F26,10,DE,1.3666666666666667
F26,10,PSO,2.1333333333333333
F26,10,CREO-DE,3.1
F26,10,GA,4.2
F26,10,GWO,4.966666666666667
F26,10,CREO-RG,6.066666666666666
F26,10,CREO-Repair,6.166666666666667
F27,10,DE,1.0
F27,10,CREO-DE,2.3333333333333335
F27,10,GA,3.433333333333333
F27,10,PSO,3.7
F27,10,GWO,4.8
F27,10,CREO-Repair,6.266666666666667
F27,10,CREO-RG,6.466666666666667
F28,10,DE,1.0333333333333334
F28,10,PSO,2.7
F28,10,CREO-DE,2.933333333333333
F28,10,GA,4.1
F28,10,CREO-Repair,5.333333333333333
F28,10,GWO,5.833333333333333
F28,10,CREO-RG,6.066666666666666
F29,10,DE,1.0
F29,10,CREO-DE,2.566666666666667
F29,10,GA,3.3
F29,10,PSO,3.566666666666667
F29,10,GWO,5.1
F29,10,CREO-Repair,5.933333333333334
F29,10,CREO-RG,6.533333333333333
F30,10,DE,1.0333333333333334
F30,10,PSO,2.433333333333333
F30,10,CREO-DE,2.8666666666666667
F30,10,CREO-Repair,4.8
F30,10,GA,4.866666666666666
F30,10,CREO-RG,5.7
F30,10,GWO,6.3
