Function,Dimension,Comparison,Statistic,p-value,Significant(p<0.05),CREO-DE Mean,GA Mean,PSO Mean,DE Mean,GWO Mean,CREO-Repair Mean,CREO-RG Mean
F1,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,1566420.1166581388,120299354.82090041,,,,,
F1,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1566420.1166581388,,754.456547255276,,,,
F1,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1566420.1166581388,,,100.0,,,
F1,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,1566420.1166581388,,,,657082577.2344257,,
F1,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1566420.1166581388,,,,,3513.9314393632953,
F1,10,CREO-DE vs CREO-RG,78.0,0.0009517744183540344,1,1566420.1166581388,,,,,,141041843.81219736
F3,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,300.00204322848236,836.1730389490273,,,,,
F3,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,300.00204322848236,,300.0,,,,
F3,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,300.00204322848236,,,300.0,,,
F3,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,300.00204322848236,,,,4832.868857111961,,
F3,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,300.00204322848236,,,,,2427.6805547809545,
F3,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,300.00204322848236,,,,,,3362.3196816008794
F4,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,401.99918909329693,414.86564775778805,,,,,
F4,10,CREO-DE vs PSO,30.0,3.7904828786849976e-06,1,401.99918909329693,,400.8862169894453,,,,
F4,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,401.99918909329693,,,400.0,,,
F4,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,401.99918909329693,,,,459.47549223592245,,
F4,10,CREO-DE vs CREO-Repair,4.0,1.30385160446167e-08,1,401.99918909329693,,,,,428.83049216780375,
F4,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,401.99918909329693,,,,,,461.5697049700233
F5,10,CREO-DE vs GA,164.0,0.1641840822994709,0,533.6744437324527,532.086004232177,,,,,
F5,10,CREO-DE vs PSO,120.0,0.019660815596580505,1,533.6744437324527,,526.9975270737527,,,,
F5,10,CREO-DE vs DE,1.0,3.725290298461914e-09,1,533.6744437324527,,,511.469290795188,,,
F5,10,CREO-DE vs GWO,49.0,4.968419671058655e-05,1,533.6744437324527,,,,540.6486141829541,,
F5,10,CREO-DE vs CREO-Repair,10.0,8.009374141693115e-08,1,533.6744437324527,,,,,551.1491341300184,
F5,10,CREO-DE vs CREO-RG,26.0,1.991167664527893e-06,1,533.6744437324527,,,,,,551.8049244049848
F6,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,601.9177565082435,608.9238252670588,,,,,
F6,10,CREO-DE vs PSO,98.0,0.00466480478644371,1,601.9177565082435,,601.0078893321956,,,,
F6,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,601.9177565082435,,,600.0000000055649,,,
F6,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,601.9177565082435,,,,609.3775141093658,,
F6,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,601.9177565082435,,,,,635.7380661859485,
F6,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,601.9177565082435,,,,,,635.7860175464124
F7,10,CREO-DE vs GA,9.0,6.146728992462158e-08,1,744.2150502175797,756.1266349772734,,,,,
F7,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,744.2150502175797,,721.3300293022271,,,,
F7,10,CREO-DE vs DE,57.0,0.00012333691120147705,1,744.2150502175797,,,732.371741116288,,,
F7,10,CREO-DE vs GWO,70.0,0.00046010687947273254,1,744.2150502175797,,,,751.3147377977699,,
F7,10,CREO-DE vs CREO-Repair,131.0,0.036434996873140335,1,744.2150502175797,,,,,753.3186320690878,
F7,10,CREO-DE vs CREO-RG,229.0,0.9515264742076397,0,744.2150502175797,,,,,,744.5738163781095
F8,10,CREO-DE vs GA,47.0,3.904104232788086e-05,1,834.1411444610262,828.1270168725204,,,,,
F8,10,CREO-DE vs PSO,5.0,1.862645149230957e-08,1,834.1411444610262,,816.9474405144351,,,,
F8,10,CREO-DE vs DE,11.0,1.0244548320770264e-07,1,834.1411444610262,,,816.7320392765957,,,
F8,10,CREO-DE vs GWO,10.0,8.009374141693115e-08,1,834.1411444610262,,,,826.3818984486819,,
F8,10,CREO-DE vs CREO-Repair,44.0,2.6885420083999634e-05,1,834.1411444610262,,,,,823.780789407569,
F8,10,CREO-DE vs CREO-RG,24.0,1.4193356037139893e-06,1,834.1411444610262,,,,,,820.6961003221079
F9,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,900.0001758371153,935.4660177622596,,,,,
F9,10,CREO-DE vs PSO,165.0,0.17059839516878128,0,900.0001758371153,,900.1390580165104,,,,
F9,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,900.0001758371153,,,900.0,,,
F9,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,900.0001758371153,,,,933.6552097174098,,
F9,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,900.0001758371153,,,,,1301.9012099920626,
F9,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,900.0001758371153,,,,,,1153.8878813380893
F10,10,CREO-DE vs GA,29.0,3.2391399145126343e-06,1,2173.322557292898,1919.1841555116991,,,,,
F10,10,CREO-DE vs PSO,9.0,6.146728992462158e-08,1,2173.322557292898,,1663.2100554970225,,,,
F10,10,CREO-DE vs DE,43.0,2.366676926612854e-05,1,2173.322557292898,,,1698.8803651739488,,,
F10,10,CREO-DE vs GWO,231.0,0.9838335812091827,0,2173.322557292898,,,,2167.2530346980425,,
F10,10,CREO-DE vs CREO-Repair,175.0,0.24494642950594425,0,2173.322557292898,,,,,2266.2380709449108,
F10,10,CREO-DE vs CREO-RG,106.0,0.008142979815602303,1,2173.322557292898,,,,,,2367.295213188205
F11,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,1121.5182501447111,1145.7691413733419,,,,,
F11,10,CREO-DE vs PSO,127.0,0.029325857758522034,1,1121.5182501447111,,1118.6588123016218,,,,
F11,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1121.5182501447111,,,1101.0281243590207,,,
F11,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,1121.5182501447111,,,,1189.3487506066017,,
F11,10,CREO-DE vs CREO-Repair,20.0,6.910413503646851e-07,1,1121.5182501447111,,,,,1154.3275647299852,
F11,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,1121.5182501447111,,,,,,1168.9526704813024
F12,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,104189.02313866475,2966951.4119051504,,,,,
F12,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,104189.02313866475,,10808.132824670245,,,,
F12,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,104189.02313866475,,,1206.018256268315,,,
F12,10,CREO-DE vs GWO,22.0,9.98377799987793e-07,1,104189.02313866475,,,,2116991.5870764274,,
F12,10,CREO-DE vs CREO-Repair,51.0,6.286613643169403e-05,1,104189.02313866475,,,,,45757.78387847458,
F12,10,CREO-DE vs CREO-RG,223.0,0.8552717231214046,0,104189.02313866475,,,,,,205953.2883995789
F13,10,CREO-DE vs GA,5.0,1.862645149230957e-08,1,4087.3481716016513,12833.879597466519,,,,,
F13,10,CREO-DE vs PSO,49.0,4.968419671058655e-05,1,4087.3481716016513,,9430.451528924686,,,,
F13,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,4087.3481716016513,,,1300.928630563518,,,
F13,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,4087.3481716016513,,,,8615.479466227176,,
F13,10,CREO-DE vs CREO-Repair,38.0,1.218356192111969e-05,1,4087.3481716016513,,,,,11058.35648475005,
F13,10,CREO-DE vs CREO-RG,43.0,2.366676926612854e-05,1,4087.3481716016513,,,,,,9209.07744073371
F14,10,CREO-DE vs GA,67.0,0.0003449581563472748,1,1615.0394128363284,1494.4408678480338,,,,,
F14,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1615.0394128363284,,1451.6865593277116,,,,
F14,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1615.0394128363284,,,1400.928629025721,,,
F14,10,CREO-DE vs GWO,6.0,2.60770320892334e-08,1,1615.0394128363284,,,,3417.4890523763856,,
F14,10,CREO-DE vs CREO-Repair,29.0,3.2391399145126343e-06,1,1615.0394128363284,,,,,3015.2325866254137,
F14,10,CREO-DE vs CREO-RG,4.0,1.30385160446167e-08,1,1615.0394128363284,,,,,,3989.049207598173
