Algorithm,Mean Rank
DE,1.3126436781609196
PSO,2.7241379310344827
CREO-DE,3.4126436781609195
GA,4.263218390804598
CREO-Repair,5.3517241379310345
GWO,5.429885057471265
CREO-RG,5.505747126436781
